muni_code;region;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_residuo;prop_esgot
1505031;1;Novo Progresso;15;PA;n„o metropolitana;amazonia;337,02;Am;33636;48,21;15,76
1505064;1;Novo Repartimento;15;PA;n„o metropolitana;amazonia;153,68;Am;60438;44,5;1,92
1505106;1;√ìbidos;15;PA;n„o metropolitana;amazonia;259,62;Am;58121;40,44;4,46
1505205;1;Oeiras Do Par√°;15;PA;n„o metropolitana;amazonia;23,84;Af;33886;57,93;37,76
1505304;1;Oriximin√°;15;PA;n„o metropolitana;amazonia;230,51;Af;76140;61,61;12,99
1505403;1;Our√©m;15;PA;n„o metropolitana;amazonia;56,98;Am;17836;75,31;33,78
1505437;1;Ouril√¢ndia Do Norte;15;PA;n„o metropolitana;amazonia;361,53;Am;26570;29,49;11,53
1505486;1;Pacaj√°;15;PA;n„o metropolitana;amazonia;115,17;Am;43527;38,57;0,45
1505494;1;Palestina Do Par√°;15;PA;n„o metropolitana;amazonia;160,31;Aw;6872;87,66;12,96
1505502;1;Paragominas;15;PA;n„o metropolitana;amazonia;115,81;Am;104883;95,6;46,63
1505536;1;Parauapebas;15;PA;n„o metropolitana;amazonia;341,77;Am;271577;43,8;0,85
1505551;1;Pau D'arco;15;PA;n„o metropolitana;amazonia;265,31;Am;6772;49,8;35,72
1505601;1;Peixe-Boi;15;PA;n„o metropolitana;amazonia;29,71;Am;8315;38,77;3,03
1505635;1;Pi√ßarra;15;PA;n„o metropolitana;amazonia;178,97;Aw;12794;29,8;1,51
1505650;1;Placas;15;PA;n„o metropolitana;amazonia;201,28;Af;18602;41,01;21,93
1505700;1;Ponta De Pedras;15;PA;n„o metropolitana;amazonia;7,28;Am;24913;47,25;11,37
1505809;1;Portel;15;PA;n„o metropolitana;amazonia;52,81;Af;67288;25;12,99
1505908;1;Porto De Moz;15;PA;n„o metropolitana;amazonia;55,24;Am;40709;22,23;4,99
1506005;1;Prainha;15;PA;n„o metropolitana;amazonia;102,02;Am;35655;52,72;40,24
1506104;1;Primavera;15;PA;n„o metropolitana;amazonia;26,58;Am;10700;60,2;41,64
1506112;1;Quatipuru;15;PA;n„o metropolitana;amazonia;13,1;Am;11534;81,4;10,19
