,geocode,season,temp_med,umid_med,precip_tot,thr_temp,thr_umid,thr_prec,thr_temp_umid,year,dengue_pattern
218,2705101,Summer,25.89379,80.04908,1067.0309,90,90,39,90,2017,Episódico/Epidêmico
219,2705101,Winter,23.259965217391304,80.36537934782608,990.5745,92,92,42,92,2017,Episódico/Epidêmico
220,2705200,Autumn,24.30948152173913,84.60439456521739,1627.8933,92,92,61,92,2017,Episódico/Epidêmico
221,2705200,Spring,24.698193333333332,78.62137333333334,663.0175,90,90,29,90,2017,Episódico/Epidêmico
222,2705200,Summer,25.714635555555557,79.32030555555556,951.0122,90,90,40,90,2017,Episódico/Epidêmico
223,2705200,Winter,22.903753260869568,80.40013804347826,1073.9275,92,92,41,92,2017,Episódico/Epidêmico
224,2705309,Autumn,24.380888043478258,77.22712608695652,598.2173,92,92,16,92,2017,Episódico
225,2705309,Spring,25.848864444444448,65.13027444444444,131.2012,90,70,0,70,2017,Episódico
226,2705309,Summer,26.865613333333336,66.06811666666667,307.8081,90,72,10,72,2017,Episódico
227,2705309,Winter,22.977190217391303,73.09051086956522,322.9077,92,92,5,92,2017,Episódico
228,2705408,Autumn,25.39318260869565,73.70658804347826,550.4616,92,92,16,92,2017,Episódico
229,2705408,Spring,26.883233333333333,62.414181111111105,139.6122,90,57,1,57,2017,Episódico
230,2705408,Summer,27.960653333333333,63.138867777777776,302.0735,90,61,8,61,2017,Episódico
231,2705408,Winter,24.051061956521743,69.01602717391305,253.9216,92,91,0,91,2017,Episódico
232,2705507,Autumn,23.918261956521743,85.18815108695652,1460.2544,92,92,59,92,2017,Episódico/Epidêmico
233,2705507,Spring,24.40733777777778,78.71903777777777,636.1462,90,90,26,90,2017,Episódico/Epidêmico
234,2705507,Summer,25.49247666666667,79.01349,846.7519,90,90,36,90,2017,Episódico/Epidêmico
235,2705507,Winter,22.417295652173912,81.63362173913043,992.9976,92,92,42,92,2017,Episódico/Epidêmico
236,2705606,Autumn,24.210894565217394,85.32535543478261,1470.0646,92,92,62,92,2017,Episódico
237,2705606,Spring,24.648437777777776,79.06971888888889,732.4394,90,90,34,90,2017,Episódico
238,2705606,Summer,25.63290888888889,79.91516888888889,998.2743,90,90,38,90,2017,Episódico
239,2705606,Winter,22.799661956521742,81.43913478260869,950.5579,92,92,42,92,2017,Episódico
240,2705705,Autumn,25.14866086956522,74.48543260869566,592.1306,92,92,17,92,2017,Episódico
241,2705705,Spring,26.676885555555554,62.780812222222224,141.0299,90,59,1,59,2017,Episódico
242,2705705,Summer,27.750008888888885,63.47619222222222,305.7263,90,63,7,63,2017,Episódico
243,2705705,Winter,23.797984782608697,69.8625456521739,289.1111,92,92,2,92,2017,Episódico
244,2705804,Autumn,25.46081304347826,71.34905434782608,514.7033,92,88,14,88,2017,Episódico
245,2705804,Spring,27.029929999999997,59.910066666666665,116.6681,90,45,1,45,2017,Episódico
246,2705804,Summer,28.196025555555554,60.301005555555555,314.7348,90,41,13,41,2017,Episódico
247,2705804,Winter,23.989882608695652,67.27292934782608,217.7575,92,88,1,88,2017,Episódico
248,2705903,Autumn,25.11475434782609,79.98578043478261,809.458,92,92,25,92,2017,Episódico
249,2705903,Spring,26.111495555555557,70.8917988888889,264.183,90,89,2,89,2017,Episódico
250,2705903,Summer,27.16444888888889,71.67450111111111,518.5787,90,90,17,90,2017,Episódico
251,2705903,Winter,23.81474347826087,74.9566956521739,402.6935,92,92,8,92,2017,Episódico
252,2706000,Autumn,25.06705652173913,75.25629021739131,614.0052,92,92,18,92,2017,Episódico
253,2706000,Spring,26.59277666666667,63.385954444444444,144.0288,90,63,1,63,2017,Episódico
254,2706000,Summer,27.66490222222222,64.0516988888889,294.3383,90,64,7,64,2017,Episódico
255,2706000,Winter,23.703290217391302,70.7991304347826,316.8473,92,92,6,92,2017,Episódico
256,2706109,Autumn,24.470561956521742,74.6036195652174,551.7768,92,91,15,91,2017,Episódico
257,2706109,Spring,26.305311111111113,60.536521111111114,93.2612,90,47,0,47,2017,Episódico
258,2706109,Summer,27.245606666666667,62.15215111111111,313.6796,90,50,14,50,2017,Episódico
259,2706109,Winter,23.114060869565215,70.03311304347827,264.5924,92,90,5,90,2017,Episódico
260,2706208,Autumn,25.702117391304345,73.17075760869565,522.9956,92,92,13,92,2017,Episódico
261,2706208,Spring,27.11806,62.48103777777777,142.5397,90,58,1,58,2017,Episódico
262,2706208,Summer,28.222515555555557,63.08432333333334,301.29789999999997,90,62,8,62,2017,Episódico
263,2706208,Winter,24.346967391304347,68.62324456521739,232.7312,92,91,0,91,2017,Episódico
264,2706307,Autumn,23.58901195652174,81.83387391304348,863.5157,92,92,35,92,2017,Episódico/Epidêmico
265,2706307,Spring,24.60112,72.10784222222222,279.5298,90,88,4,88,2017,Episódico/Epidêmico
