muni_code;dengue_pattern_2010_2016;dengue_pattern_2017_2022;transition
1720259;Episódico/Epidêmico;Episódico;Melhorou
1720309;Episódico;Episódico;Se manteve
1720499;Episódico;Episódico/Epidêmico;Piorou
1720655;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1720804;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1720853;Episódico;Episódico/Epidêmico;Piorou
1720903;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1720937;Episódico;Episódico/Epidêmico;Piorou
1720978;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1721000;Epidêmico;Transmissão Persistente;Piorou
1721109;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1721208;Epidêmico;Episódico/Epidêmico;Melhorou
1721257;Episódico;Episódico;Se manteve
1721307;Episódico;Episódico;Se manteve
1722081;Episódico;Episódico/Epidêmico;Piorou
1722107;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2100055;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2100105;Episódico;Episódico;Se manteve
2100154;Episódico;Episódico;Se manteve
2100204;Episódico;Episódico;Se manteve
2100303;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2100402;Sem transmissão;Episódico;Piorou
2100436;Episódico;Episódico;Se manteve
2100477;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2100501;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2100550;Episódico;Episódico;Se manteve
2100600;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2100709;Episódico;Episódico;Se manteve
2100808;Episódico;Episódico/Epidêmico;Piorou
2100832;Episódico/Epidêmico;Episódico;Melhorou
2100873;Episódico;Episódico;Se manteve
2100907;Episódico/Epidêmico;Episódico;Melhorou
2100956;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2101004;Episódico;Episódico;Se manteve
2101103;Episódico;Episódico;Se manteve
2101202;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2101251;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2101301;Episódico;Episódico;Se manteve
2101350;Episódico;Sem transmissão;Melhorou
2101400;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2101509;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2101608;Epidêmico;Epidêmico;Se manteve
2101707;Episódico/Epidêmico;Episódico;Melhorou
2101731;Episódico;Episódico;Se manteve
2101772;Episódico;Episódico;Se manteve
2101806;Episódico;Episódico/Epidêmico;Piorou
2101905;Episódico/Epidêmico;Episódico;Melhorou
2101939;Episódico;Episódico;Se manteve
2101970;Episódico;Episódico;Se manteve
2102002;Episódico/Epidêmico;Episódico;Melhorou
2102036;Episódico/Epidêmico;Episódico;Melhorou
2102077;Episódico;Episódico;Se manteve
2102101;Episódico/Epidêmico;Episódico;Melhorou
2102150;Episódico;Episódico;Se manteve
